,id,cause,effect,label
83,1160,He entertained the audience.,The audience applauded the comedian on stage.,1.0
84,233,I burst into a fit of laughter.,My teeth began to chatter.,0.0
85,172,The teacher caught the student chewing gum.,The student spit out the gum.,1.0
86,128,They made plans to celebrate their anniversary.,The parents left their children with a babysitter.,1.0
87,55,The man signed the document.,The transaction was voided.,0.0
88,446,The man defied the authorities of the church.,He donated money to the church.,0.0
89,1334,She got into a car accident.,The woman got a body rash.,0.0
90,1036,He wanted to iron his pants before work.,The man got up earlier.,1.0
91,131,I rubbed the soap between my hands.,The soap foamed.,1.0
92,193,He feigned interest in the class.,The student flaunted his test grade to his classmates.,0.0
93,16,Her friend gave her a pat on the back.,The girl gasped.,0.0
94,1190,The baby's name was called.,The mother picked up the baby.,0.0
95,134,The girl came across an unfamiliar word in her textbook.,She chucked the textbook across the room.,0.0
96,1496,I went to a concert.,My mind was full of paintings.,0.0
97,1174,A cat got stuck in the tree.,The boy avoided the tree.,0.0
98,1174,A bird built a nest in the tree.,The boy avoided the tree.,1.0
99,327,It was a clear night.,I went to bed.,0.0
100,194,He went away to camp.,The boy felt homesick.,1.0
101,1090,His grandfather was deaf.,The boy communicated with his grandfather by writing.,1.0
102,226,I was unhappy.,My jaw dropped open.,0.0
103,191,The woman had a religious awakening.,She began travelling abroad.,0.0
104,1085,There were many empty tables.,The service at the restaurant was quick.,1.0
105,245,Our group's conversation gradually lulled to silence.,I became enraged.,0.0
106,144,The driver rotated the steering wheel.,The car turned.,1.0
107,1370,We forgot the water in the teapot.,The teapot cooled.,1.0
108,396,She hit a patch of ice.,The skier slipped on the slope.,1.0
109,1440,The man grew tired of having so many things.,He sold his belongings.,1.0
110,1133,The group was offended by the woman's faux pas.,The woman apologized.,1.0
111,145,They were outnumbered.,The army surrendered the battle.,1.0
112,284,The woman wanted to be a doctor.,She visited the hospital.,0.0
113,183,I planted the seeds in the soil.,The seeds sprouted.,1.0
114,1200,She pounded on the door.,The woman felt extremely fatigued.,1.0
115,364,I downloaded a virus.,The computer crashed.,1.0
116,349,The hunter ran out of ammunition.,He aimed at the deer.,0.0
117,1275,The bully stuck did not like his classmate.,The bully's classmate tripped.,0.0
118,277,I drank a cup of coffee.,My yawning ceased.,1.0
119,1028,He avoided exposure to the disease.,The child was not vaccinated but did not get the disease.,1.0
120,1335,I needed to carry cash.,I went to the bank.,0.0
121,1328,My friend had to go for a health checkup.,I brought her a card and flowers.,0.0
122,1130,The producted was replaced.,The product became outdated.,1.0
123,169,Her accomplice was apprehended.,The woman got away with the crime.,0.0
124,57,The woman felt compelled to help someone in need.,She donated blood.,1.0
125,290,The competition ended.,The teams shook hands.,1.0
126,1104,His parents abused him.,The teenager always stayed home.,0.0
127,197,I was held up at airport security.,My flight got delayed.,0.0
128,120,The player scored.,The fans in the stadium cheered.,1.0
129,1490,The man bought more than he could afford.,He owed money.,1.0
130,61,The man threw his empty can onto the street.,He was fined for littering.,1.0
131,103,The child kicked the stack of blocks.,The blocks scattered all over the rug.,1.0
132,1113,I received someone's package in the mail.,I took the package to the post office.,1.0
133,1126,She outgrew the clothes.,The girl threw her clothes away.,0.0
134,1380,The woman waved.,The woman was not arrested by police.,0.0
135,1442,The soda bottle had a hole.,The soda leaked out.,1.0
136,1220,The detective flashed his fake badge to the police officer.,The police officer confiscated the detective's badge.,1.0
137,269,The chef pressed down on the dough.,The dough flattened.,1.0
138,409,I put a match to the wick.,The flame on the candle went out.,0.0
139,1084,I got angry while reading the book.,I ripped out the next page.,1.0
140,166,I stood on one foot.,My balance wavered.,1.0
141,26,She jumped out of the plane.,The skydiver glided safely to the ground.,0.0
142,1079,The girl trusted her friend.,The girl spread a rumor about her friend.,0.0
143,1238,The man had a dead conscience.,He manipulated his friend.,1.0
144,47,The woman shivered as she got out the pool.,She wrapped herself in a towel.,1.0
145,249,It was cloudy.,The vehicles travelled slowly.,0.0
146,1271,I went swimming.,My skin was dry.,1.0
147,82,She came from a wealthy family.,The woman spoke with a foreign accent.,0.0
148,75,The clock stopped ticking.,I took extra time to get ready.,0.0
149,1014,The offender was poor.,She stole money from a church.,1.0
150,35,The girl found the missing puzzle piece.,She took apart the puzzle.,0.0
151,6,He ran negative campaign ads.,The politician lost the election.,0.0
152,1327,It was a clear night.,I saw the stars.,1.0
153,334,She got into a car accident.,The woman suffered amnesia.,1.0
154,1316,The mirror was smudged.,The girl could barely see her reflection.,1.0
155,363,He left a note.,The investigators deemed the man's death a suicide.,1.0
156,486,The woman read the newspaper.,She discovered the outcome of the election.,1.0
157,1030,The friends were splitting hairs.,The friends did not have a debate.,0.0
158,483,The jewelry thieves were caught.,The stolen jewelry was returned to its owners.,1.0
159,21,She made a new friend.,The girl received a trophy.,0.0
160,95,The man slid the razor across his chin.,His stubble disappeared.,1.0
161,1182,A comet collided with the moon.,A crater did not form on the moon.,0.0
162,1232,She missed them.,The woman refused to visit her family.,0.0
163,313,The woman was summoned for jury duty.,She contacted her lawyer.,0.0
164,178,I clumsily bumped into the stranger.,I apologized to him.,1.0
165,1199,The vase had a nice shape.,I stenciled it.,1.0
166,261,The police officer pulled over the celebrity.,The celebrity offered the officer a bribe.,1.0
167,101,The teacher took roll.,She gave her students a pop quiz.,0.0
168,251,I petted it.,The cat purred.,1.0
169,1252,The boy found his sister.,His sister tattled on him.,0.0
170,1362,The man wearing a short-sleeved shirt ran away but there was a fence.,He hopped the fence.,1.0
171,268,The bananas ripened.,We ate them.,1.0
172,272,The woman betrayed her friend.,Her friend cut off contact with her.,1.0
173,466,The woman wore a bracelet.,The man perceived that the woman looked different.,0.0
174,1081,I put the bottle into a freezer.,The liquid in the bottle poured out.,0.0
175,1419,He cut an onion.,The cook went to the market.,0.0
176,1255,The passenger on the airplane made a distracting noise.,The pilot made an error.,1.0
177,1451,I brushed against poison ivy in my yard.,I no longer broke out into a rash.,0.0
178,17,I put it in the dryer.,The shirt shrunk.,1.0
179,245,Our group's conversation gradually lulled to silence.,I felt awkward.,1.0
180,455,He began attending school.,The child learned how to read.,1.0
181,332,The man lifted the heavy box.,He scratched his back.,0.0
182,1023,The farmland got heavy rain.,A flood occurred.,1.0
183,15,I poured water on my sleeping friend.,My friend awoke.,1.0
184,1086,I was late for the meeting.,I hailed a cab.,1.0
185,1386,She squatted down.,The son had to walk as fast as his mother.,0.0
186,1274,The woman and her boyfriend got engaged.,They stopped seeing each other.,0.0
187,448,I chipped my fingernail.,The ring on my finger got stuck.,0.0
188,1415,Her teammate threw it to her.,The player could not see the ball.,0.0
189,1358,The gardener did not pull out the weeds.,The weeds produced seeds.,1.0
190,1207,They neglected to pay their rent.,The tenants lease for the apartment was extended.,0.0
191,1219,The girl demonstrated poor etiquette.,She put her napkin on her lap before eating.,0.0
192,264,He looked familiar.,I approached the man.,1.0
193,69,The shop was undergoing renovation.,The shop was closed.,1.0
194,295,The girl pushed her friend.,Her friend fell over.,1.0
195,359,We ordered a pizza.,The pizza got cold.,0.0
196,268,The bananas ripened.,We squeezed them.,0.0
197,401,The man turned on the faucet.,Water flowed from the spout.,1.0
198,1097,Her husband was snoring.,The woman did not wake up.,0.0
199,452,My subscription to the magazine expired.,I discarded the new issue.,0.0
200,1357,The magnet was too weak to attract the paperclip.,The paperclip stuck to the magnet.,0.0
201,1326,I pulled too hard on the railing.,I caught myself on the railing.,0.0
202,297,He was sweaty from working out.,The man took a shower.,1.0
203,1018,It got cold outside.,The moon became visible in the sky.,0.0
204,25,She was repulsed by him.,The woman gave the man her phone number.,0.0
205,1372,She felt shy.,The woman did not tell the story to anyone.,1.0
206,412,His family buried him in the cemetery.,The community learned of the man's death.,0.0
207,361,Specialists recommended the procedure.,The patient underwent the risky medical procedure.,1.0
208,214,The vandals threw a rock at the window.,The window fogged up.,0.0
209,1046,She saw a shooting star.,The girl had bad luck.,0.0
210,108,I spilled juice on the floor.,I dabbed the floor with a paper towel.,1.0
211,407,My friends urged me to go out.,I decided to stay home for the night.,0.0
212,58,The woman felt lonely.,She renovated her kitchen.,0.0
213,303,The man called her.,The woman filed a restraining order against the man.,0.0
214,165,The baby pulled the mother's hair.,The mother grimaced.,1.0
215,1412,His family buried him in the cemetery.,The man did not get the burial at sea he wanted.,1.0
216,102,I pushed the pendulum.,It slowed to a stop.,0.0
217,215,The fortune teller's revelations were convincing.,She received many returning customers.,1.0
218,1251,It scratched me.,I snapped at the cat.,1.0
219,220,The detective flashed his badge to the police officer.,The police officer confiscated the detective's badge.,0.0
220,1173,The host served nothing to his guests.,His guests went hungry.,1.0
221,1339,It was pasteurized.,The honey lasted longer.,1.0
222,72,The police called for backup.,The police handcuffed the suspect.,0.0
223,1041,The tenant broke the door of his apartment.,His landlord repaired the door.,1.0
224,1212,The police interrogated her.,The police kept the woman on the list of suspects.,1.0
225,1146,The captain passed out.,The ship crashed into the pier.,1.0
226,1378,He suffered brain damage.,The patient went into a fugue state.,0.0
227,1380,The woman escaped.,The woman was not arrested by police.,1.0
228,471,He insulted her.,The woman asked the man to leave.,1.0
229,1333,She left it unsupervised.,The woman emptied her mailbox.,0.0
230,1237,He dropped a hammer on his foot.,The man hid his feet.,0.0
231,464,I was preparing to wash my hands.,I put rubber gloves on.,0.0
232,460,The competition was sabotaged.,The man lost the competition.,1.0
233,1459,He took a nap.,The man felt refreshed.,1.0
234,1485,She checked into rehab.,The woman was an alcoholic.,1.0
235,23,The farmland needed irrigation.,A flood occurred.,0.0
236,310,The woman complimented the man.,He blushed.,1.0
237,1475,The politician was very popular.,He campaigned for re-election.,1.0
238,390,The truck crashed into the motorcycle on the bridge.,The motorcyclist died.,1.0
239,1317,He fell asleep on his couch.,The man felt unrested in the morning.,1.0
240,1397,The man wanted to make a note.,The man retrieved a pen from his pocket.,1.0
241,124,The man contemplated the painting.,He felt in awe.,1.0
242,1479,I saw a scary movie.,I had vivid dreams that night.,1.0
243,1218,The student's answer on the exam was extraordinary.,The teacher added bonus points to the student's grade.,1.0
244,113,I received a package in the mail.,I took the package to the post office.,0.0
245,1276,The man wanted to get peace with his enemy.,The man declared a truce with his enemy.,1.0
246,1006,He ran negative campaign ads.,The politician won the election.,1.0
247,1214,The vandals blew cold air at the window.,The window cracked.,0.0
248,382,Another car swerved into her lane.,The driver honked her horn.,1.0
249,1098,The woman felt dizzy.,She was reminded of her childhood.,0.0
250,1093,The blinds were open.,The sun was coming through the window.,1.0
251,1232,She distrusted them.,The woman refused to visit her family.,1.0
252,1486,The woman went to the polling station.,She discovered the outcome of the election.,0.0
253,1421,The student felt sick and wanted to go home.,The teacher dismissed her.,1.0
254,91,My foot went numb.,I put my shoes on.,0.0
255,1099,It was crowded.,There was nowhere to sit in the bar.,1.0
256,1215,The fortune teller's revelations were false.,Many customers asked for refunds.,1.0
257,188,The woman upgraded her computer hardware.,She installed new software on the computer.,1.0
258,1434,The hour seemed to drag on.,He was tired and stared at the clock.,1.0
259,1092,The photographer could not see the child's face.,The photographer quickly changed the child's pose.,1.0
260,1450,The hot sun shined onto the cement all summer.,Cracks emerged in the cement.,1.0
261,165,The baby pulled the mother's hair.,The baby burped.,0.0
262,1387,I was hunting for a new apartment.,I called several realtors.,1.0
263,1282,The contestant rang the buzzer.,The host of the trivia show called on the contestant to pick a category.,0.0
264,123,The train ran off the tracks.,The inside of the train went dark.,0.0
265,1309,He yelled whenever a player fumbled the ball.,"The players called their coach ""The Flute"".",0.0
266,1101,The teacher wanted to grade the students.,She identified the students that were absent.,0.0
267,397,The print on the brochure was tiny.,The man put his glasses on.,1.0
268,112,The man begged for forgiveness.,The woman took pity on him.,1.0
269,1032,The man hated the shape of his chin.,He grew a beard.,1.0
270,258,The button on my shirt fell off.,I sewed the button back on.,1.0
271,176,It was bedtime for the children.,The father shut off the children's television.,1.0
272,29,The grape juice fermented.,The juice evaporated.,0.0
273,264,He looked busy.,I approached the man.,0.0
274,240,They remained untouched for years.,The photo albums collected dust in the attic.,1.0
275,1219,The girl demonstrated poor etiquette.,She threw away her napkin after eating.,1.0
276,1422,I took deep breaths.,I noticed that I was very nervous.,0.0
277,433,I inhaled smoke.,I coughed.,1.0
278,81,I tipped the bottle.,The liquid in the bottle froze.,0.0
279,1426,He ran over a nail.,The driver got a ticket.,0.0
280,1152,The opening credits finished playing.,The film began.,1.0
281,115,The speaker disarmed her debate opponent.,The speaker won the debate.,1.0
282,330,He noticed some suspicious activity.,The security guard replayed the surveillance footage.,1.0
283,1407,The forecast called for storms.,I decided not to stay home.,0.0
284,287,The boy had trouble buttoning his shirt.,He refused to wear the shirt.,0.0
285,1002,The woman felt that her friend took advantage of her kindness.,The woman did not tolerate her friend's difficult behavior anymore.,1.0
286,388,The boy wrestled with his older brother.,The boy mimicked his older brother.,0.0
287,1357,The magnet was too weak to attract the paperclip.,The paperclip dropped from the magnet.,1.0
288,273,He had his back turned to her.,The man took notice of the woman.,0.0
289,161,The player got a penalty.,The coach gave his player a high five.,0.0
290,453,The detective revealed an anomaly in the case.,He scrapped his theory.,1.0
291,1288,The gum lost its flavor.,I enjoyed my chewing gum.,0.0
292,1433,I inhaled smoke.,Only the person next to me could hear me speak.,0.0
293,1414,She aspired to hold an executive position in the firm.,The woman acquired an additional qualification for her job.,1.0
294,388,The boy looked up to his older brother.,The boy mimicked his older brother.,1.0
295,1495,The girl wanted to have a symbol on her arm.,She got her ears pierced.,0.0
296,1211,The sender tried to solicit money from her.,The woman read the email.,0.0
297,337,The boy wanted to be muscular.,He played computer games.,0.0
298,374,The man went into denial about the tragedy.,He got over it easily.,0.0
299,1045,It migrated for the winter.,The bird flew south.,1.0
300,1038,The woman felt guilty.,She bought a yacht.,0.0
301,1239,A gas tank burst in the hall of the school.,The principal suspended the students involved.,0.0
302,92,The photographer got the child to smile.,The photographer quickly snapped the child's photo.,1.0
303,54,The cook stirred the ingredients in the bowl.,The ingredients blended together.,1.0
304,243,It was a holiday weekend.,The family postponed the barbeque.,0.0
305,221,The girl wanted to make her mother happy.,The girl ate the cookies her mother baked.,0.0
306,1407,My friends urged me to go out.,I decided not to stay home.,1.0
307,1201,The woman kissed him.,The man had a grin on his face.,0.0
308,475,The politician was convicted of fraud.,He was removed from office.,1.0
309,213,The climbers reached the peak of the mountain.,They encountered an avalanche.,0.0
310,223,The stranger cried out to me in a foreign language.,I stopped to chat with him.,0.0
311,21,She won a spelling bee.,The girl received a trophy.,1.0
312,99,It was 3 AM.,The bar closed.,1.0
313,1440,The man grew tired of having so many things.,His hair turned gray.,0.0
314,1053,Bodybuilding fell out of fashion.,The gym closed.,1.0
315,1395,I turned off my phone.,I did not get any calls.,1.0
316,1305,She was familiar with the bartender.,The woman stayed late in the bar.,1.0
317,1278,The woman was close with her sister.,The woman invited her sister for coffee.,1.0
318,184,He wanted to maintain his privacy.,The benefactor requested to stay anonymous.,1.0
319,450,I pressed my hand into the wet cement.,My handprint dried in the cement.,1.0
320,1158,The woman smelled smoke.,The woman covered her nose.,1.0
321,60,The crowd gave the band a standing ovation.,The band reappeared on the stage.,1.0
322,1500,The woman was in a good mood.,She told her friend to leave her alone.,0.0
323,10,The sales associate acted rude to the customer.,The customer filed a complaint with the store manager.,1.0
324,1263,The assailant took the man's wallet.,The man lost the credit card.,1.0
325,1456,He ate a big lunch.,The boy rushed home for dinner.,0.0
326,347,The bully punched the boy.,The boy got a black eye.,1.0
327,292,I scrubbed the stain on the floor.,I got dirt on the floor.,0.0
328,90,His grandfather was deaf.,The boy read the novel aloud to his grandfather.,0.0
329,39,The seamstress pushed the threaded needle into the fabric.,The thread went through the fabric.,1.0
330,1436,They were trying to elicit a confession.,The police tortured the suspect.,1.0
331,150,The patient's symptoms cleared up.,The hospital sent the patient home.,1.0
332,97,Her husband was snoring.,The woman awakened.,1.0
333,1199,The vase had a nice shape.,I glued it back together.,0.0
334,244,There was a hole in it.,Air leaked out of the beach ball.,1.0
335,1371,The mayor fulfilled his promises.,The city had spent too much money.,0.0
336,1350,Oil spilled into the ocean.,New countries were discovered.,0.0
337,1177,He treaded water.,The man exhaled his breath.,1.0
338,447,The woman's hair fell in her face.,She pulled her hair back with a clip.,1.0
339,1422,My heart pounded.,I noticed that I was very nervous.,1.0
340,474,The seasons changed from summer to autumn.,People evacuated their homes.,0.0
341,1259,She wanted to thank her fans.,The celebrity took off her sunglasses.,1.0
342,67,My friend got the rules wrong.,I learned how to play the board game.,0.0
343,1230,The jury was fair.,The woman was correctly convicted for the crime.,1.0
344,1063,The boaters caught a nice current.,Their boat was rescued.,0.0
345,1273,He had his back turned to her.,The man never noticed the woman.,1.0
346,462,The car radio shut off.,The driver slammed on his brakes.,0.0
347,46,She saw a black cat.,The girl made a wish.,0.0
348,1216,She wiped her eyes.,The woman's head looked nice.,0.0
349,357,The magnet attracted the paperclip.,The paperclip dropped from the magnet.,0.0
350,1187,He was building a sand castle.,The boy cut his hand in the sand.,0.0
351,466,The woman got her hair cut.,The man perceived that the woman looked different.,1.0
352,1099,It was 3 AM.,There was nowhere to sit in the bar.,0.0
353,1366,The room was dirty.,I opened the blinds.,0.0
354,232,She distrusted them.,The woman visited her family.,0.0
355,66,The woman dangled the biscuit above the dog.,The dog scratched its fur.,0.0
356,396,She dropped her ski poles.,The skier slipped on the slope.,0.0
357,487,The sick child coughed on his friend.,His friend got sick.,1.0
358,1295,The girl strangled her friend.,Her friend fell over.,0.0
359,136,The flashlight was dead.,I took it apart.,0.0
360,1235,I pricked it.,The balloon poped.,1.0
361,1486,The woman went to the polling station.,She casted a vote in the election.,1.0
362,1236,I wanted to tense up the mood of the conversation.,I told a joke.,0.0
363,1497,I was swamped with work.,I did not clean up my house.,1.0
364,1130,The producted was replaced.,Consumers recognized the product.,0.0
365,425,The man confessed his love for the woman.,The woman rejected him.,1.0
366,41,The tenant misplaced his keys to his apartment.,His landlord repaired the door.,0.0
367,1198,I lit a candle.,The room became bright.,1.0
368,195,The girl designed it.,The rocket flew up into the sky.,0.0
369,1477,The lobbyist persuaded the president that the bill was bad for business.,The president vetoed the bill.,1.0
370,293,The documents contained important information.,I kept them in a secure place.,1.0
371,1478,My room looked boring.,I organized it.,0.0
372,37,The papers were disorganized.,I made photocopies of them.,0.0
373,1413,My computer's sound didn't work.,I lost all my data.,0.0
374,1072,The police called for backup.,The police was hit by the suspect.,1.0
375,387,I was moving out of my apartment.,I packed up my belongings.,1.0
376,1195,The girl launched it.,The rocket looked pretty.,0.0
377,1225,The girl wanted to get on top of the slide.,She crawled up the slide.,1.0
378,1016,Her friend stuck an ice cube down her back.,The girl smiled.,0.0
379,1323,She discovered a new species.,The scientist continued with her ongoing research.,0.0
380,1372,She wanted attention.,The woman did not tell the story to anyone.,0.0
381,1283,He watched a horror movie.,The boy was struggling to fall asleep.,0.0
382,1015,I made my friend very tired.,My friend snored.,1.0
383,492,I spent the day at the pool.,I sprained my ankle.,0.0
384,121,The girl went down the hill on her bike.,Her bike swerved.,0.0
385,1352,The window display caught her eye.,The customer was embarassed at the cash register.,0.0
386,1165,The mother patted the baby's back.,The mother grimaced.,0.0
387,1007,I patched the shirt.,The shirt did not have a hole anymore.,1.0
388,492,I spent the day at the pool.,My face got sunburned.,1.0
389,239,A fistfight broke out in the hall of the school.,The principal suspended the students involved.,1.0
390,301,She received her monthly bill.,The woman wrote a check to the gas company.,1.0
391,1359,We ordered a pizza but did not eat it all.,The pizza got cold.,1.0
392,423,I put my hands under the running faucet.,The soap rinsed off my hands.,1.0
393,307,The woman was deemed mentally ill.,She sought a career as a psychiatrist.,0.0
394,470,The couple was happy to see each other.,They kissed.,1.0
395,1161,The player scored a point.,The coach gave his player a headshake.,0.0
396,465,Their predators went extinct.,The animal species became endangered.,0.0
397,473,The teacher assigned homework to the students.,The students groaned.,1.0
398,406,I doubted the salesman's pitch.,I turned his offer down.,1.0
399,1035,The girl was angry.,She completed the puzzle.,0.0
400,1269,The chef pressed down on the dry dough.,The dough flattened.,0.0
401,429,The girl refused to eat her vegetables.,Her father told her to drink her milk.,0.0
402,1216,She brushed her hair.,The woman's head looked nice.,1.0
403,1003,They wanted to catch up with each other.,The women were surprised.,0.0
404,1081,I put the bottle into a freezer.,The liquid in the bottle froze.,1.0
405,1351,I touched the ice cube.,The ice cube stuck to my fingers.,1.0
406,224,The man uncovered incriminating evidence against his enemy.,The man avoided his enemy.,0.0
407,351,I ran the ice cube under warm water.,The ice cube vanished.,1.0
408,391,It renewed its lease.,The retail shop shut down.,0.0
409,1053,Bodybuilding fell out of fashion.,Her muscles became fatigued.,0.0
410,1354,She was intoxicated.,The woman was not allowed to drive her car.,1.0
411,91,My foot went numb.,I shook my foot.,1.0
412,1176,It was bedtime for the children.,The father laughed at the children's television.,0.0
413,260,My grandmother passed away.,My family held a reunion.,0.0
414,206,Some of its products were manufactured defectively.,The company lost money.,1.0
415,1122,A man let me in front of the long line.,I smiled at him.,1.0
416,207,They neglected to pay their rent.,The tenants were evicted from the apartment.,1.0
417,379,The friends' dinnertime conversation turned to politics.,The conversation quieted down.,0.0
418,1200,She grabbed the doorknob.,The woman felt extremely fatigued.,0.0
419,85,The restaurant was crowded.,The service at the restaurant was slow.,1.0
420,156,I ran five miles.,I chugged the pitcher of water.,1.0
421,149,He noticed a stranded vehicle.,The driver pulled over to the side of the road.,1.0
422,59,I rubbed sandpaper on the wood.,The wood became sticky.,0.0
423,494,The woman became famous.,Photographers followed her.,1.0
424,142,The mirror in the bathroom fogged up.,The girl turned on the fan.,1.0
425,1324,The pedestrian crossing signal turned red.,The pedestrian crossed the road.,0.0
426,244,It was inflated.,Air leaked out of the beach ball.,0.0
427,1217,The company was seeking highly specialized talent.,It moved its headquarters to a suburban location.,1.0
428,435,The chef hit the egg on the side of the bowl.,The egg cracked.,1.0
429,33,The police aimed their weapons at the fugitive.,The fugitive fell to the ground.,0.0
430,1039,The seamstress guided the thread through the eye of the needle.,The thread wrapped around the needle.,1.0
431,413,My computer crashed.,I installed new speakers.,0.0
432,179,The captain raised the sail.,The boat capsized.,0.0
433,181,She forgot her ID.,The young woman was denied entrance into the bar.,1.0
434,96,She received a salary bonus.,The woman took her family on vacation.,1.0
435,214,The vandals threw a rock at the window.,The window cracked.,1.0
436,239,A fistfight broke out in the hall of the school.,The principal called off classes for the day.,0.0
437,1427,The couple behind me was whispering.,I could not enjoy the movie's beautiful soundtrack.,1.0
438,1253,The man stepped in the mud.,He got his suit altered.,0.0
439,9,The physician misdiagnosed the patient.,The patient disclosed confidential information to the physician.,0.0
440,1209,Their coach pumped them up.,The team won the game.,1.0
