Unnamed: 0,id,cause,effect,label,ceq
117,1275,The bully stuck did not like his classmate.,The bully's classmate tripped.,0.0,0.0391115060196952
118,277,I drank a cup of coffee.,My yawning ceased.,1.0,0.004813157530389393
119,1028,He avoided exposure to the disease.,The child was not vaccinated but did not get the disease.,1.0,0.02734498303096238
120,1335,I needed to carry cash.,I went to the bank.,0.0,0.013983332608855186
121,1328,My friend had to go for a health checkup.,I brought her a card and flowers.,0.0,0.004659921101127373
122,1130,The producted was replaced.,The product became outdated.,1.0,0.009063524391480358
123,169,Her accomplice was apprehended.,The woman got away with the crime.,0.0,0.014080381260238238
124,57,The woman felt compelled to help someone in need.,She donated blood.,1.0,0.018210919110255398
125,290,The competition ended.,The teams shook hands.,1.0,0.0053148807774520005
126,1104,His parents abused him.,The teenager always stayed home.,0.0,0.006398639860621915
127,197,I was held up at airport security.,My flight got delayed.,0.0,0.14898135887157493
128,120,The player scored.,The fans in the stadium cheered.,1.0,0.01853877985079174
129,1490,The man bought more than he could afford.,He owed money.,1.0,0.035511865437891914
130,61,The man threw his empty can onto the street.,He was fined for littering.,1.0,0.011763613274479112
131,103,The child kicked the stack of blocks.,The blocks scattered all over the rug.,1.0,0.005106721688099544
132,1113,I received someone's package in the mail.,I took the package to the post office.,1.0,0.022291606046173196
133,1126,She outgrew the clothes.,The girl threw her clothes away.,0.0,0.0025048325200152386
134,1380,The woman waved.,The woman was not arrested by police.,0.0,0.011099211385607521
135,1442,The soda bottle had a hole.,The soda leaked out.,1.0,0.04707679903508487
136,1220,The detective flashed his fake badge to the police officer.,The police officer confiscated the detective's badge.,1.0,0.12181276828163423
137,269,The chef pressed down on the dough.,The dough flattened.,1.0,0.024330985506205403
138,409,I put a match to the wick.,The flame on the candle went out.,0.0,0.23045608326421638
139,1084,I got angry while reading the book.,I ripped out the next page.,1.0,0.018276757260522615
140,166,I stood on one foot.,My balance wavered.,1.0,0.022135323827669598
141,26,She jumped out of the plane.,The skydiver glided safely to the ground.,0.0,0.06882918965319161
142,1079,The girl trusted her friend.,The girl spread a rumor about her friend.,0.0,0.02567837283106714
143,1238,The man had a dead conscience.,He manipulated his friend.,1.0,0.009654709540301103
144,47,The woman shivered as she got out the pool.,She wrapped herself in a towel.,1.0,0.008206825083303138
145,249,It was cloudy.,The vehicles travelled slowly.,0.0,0.00418272023914208
146,1271,I went swimming.,My skin was dry.,1.0,0.01100452788043016
147,82,She came from a wealthy family.,The woman spoke with a foreign accent.,0.0,0.020678979106854532
148,75,The clock stopped ticking.,I took extra time to get ready.,0.0,0.02045852138809284
149,1014,The offender was poor.,She stole money from a church.,1.0,0.012350639062611411
150,35,The girl found the missing puzzle piece.,She took apart the puzzle.,0.0,0.04003160472837307
151,6,He ran negative campaign ads.,The politician lost the election.,0.0,0.042882764560635486
152,1327,It was a clear night.,I saw the stars.,1.0,7.443383762258322e-05
153,334,She got into a car accident.,The woman suffered amnesia.,1.0,0.028294714283951
154,1316,The mirror was smudged.,The girl could barely see her reflection.,1.0,0.042952762210811235
155,363,He left a note.,The investigators deemed the man's death a suicide.,1.0,0.013638028437904232
156,486,The woman read the newspaper.,She discovered the outcome of the election.,1.0,0.014444491101020808
157,1030,The friends were splitting hairs.,The friends did not have a debate.,0.0,0.010865369096356563
158,483,The jewelry thieves were caught.,The stolen jewelry was returned to its owners.,1.0,0.03813985209602668
159,21,She made a new friend.,The girl received a trophy.,0.0,0.03726676105073885
160,95,The man slid the razor across his chin.,His stubble disappeared.,1.0,0.1693880765983205
161,1182,A comet collided with the moon.,A crater did not form on the moon.,0.0,0.14475882606418997
162,1232,She missed them.,The woman refused to visit her family.,0.0,0.013836783593055544
163,313,The woman was summoned for jury duty.,She contacted her lawyer.,0.0,0.022261312145301696
164,178,I clumsily bumped into the stranger.,I apologized to him.,1.0,0.006025222848946364
165,1199,The vase had a nice shape.,I stenciled it.,1.0,0.03386969964253149
166,261,The police officer pulled over the celebrity.,The celebrity offered the officer a bribe.,1.0,0.04869008896360984
167,101,The teacher took roll.,She gave her students a pop quiz.,0.0,0.06508338640317089
168,251,I petted it.,The cat purred.,1.0,0.19740008570010426
169,1252,The boy found his sister.,His sister tattled on him.,0.0,0.007138410823961466
170,1362,The man wearing a short-sleeved shirt ran away but there was a fence.,He hopped the fence.,1.0,0.01587076464508425
171,268,The bananas ripened.,We ate them.,1.0,0.0257475492079139
172,272,The woman betrayed her friend.,Her friend cut off contact with her.,1.0,0.008619419331213135
173,466,The woman wore a bracelet.,The man perceived that the woman looked different.,0.0,0.032847728229296505
174,1081,I put the bottle into a freezer.,The liquid in the bottle poured out.,0.0,0.04880884797202201
175,1419,He cut an onion.,The cook went to the market.,0.0,0.03265804914488034
176,1255,The passenger on the airplane made a distracting noise.,The pilot made an error.,1.0,0.0371355049901098
177,1451,I brushed against poison ivy in my yard.,I no longer broke out into a rash.,0.0,0.043262078529519694
178,17,I put it in the dryer.,The shirt shrunk.,1.0,0.01871013906742064
179,245,Our group's conversation gradually lulled to silence.,I felt awkward.,1.0,0.029613800903238167
180,455,He began attending school.,The child learned how to read.,1.0,0.04499530003167636
181,332,The man lifted the heavy box.,He scratched his back.,0.0,0.012601856936965899
182,1023,The farmland got heavy rain.,A flood occurred.,1.0,0.03155340519373523
183,15,I poured water on my sleeping friend.,My friend awoke.,1.0,0.10096562855061171
184,1086,I was late for the meeting.,I hailed a cab.,1.0,0.011305046967343585
185,1386,She squatted down.,The son had to walk as fast as his mother.,0.0,0.0033871451018273996
186,1274,The woman and her boyfriend got engaged.,They stopped seeing each other.,0.0,0.004123487423212349
187,448,I chipped my fingernail.,The ring on my finger got stuck.,0.0,0.018421296332988443
188,1415,Her teammate threw it to her.,The player could not see the ball.,0.0,0.0225545402399798
189,1358,The gardener did not pull out the weeds.,The weeds produced seeds.,1.0,0.001521021678857382
190,1207,They neglected to pay their rent.,The tenants lease for the apartment was extended.,0.0,0.08255598415679084
191,1219,The girl demonstrated poor etiquette.,She put her napkin on her lap before eating.,0.0,0.020824109791016582
192,264,He looked familiar.,I approached the man.,1.0,0.00982375776002434
193,69,The shop was undergoing renovation.,The shop was closed.,1.0,0.010647418561259213
194,295,The girl pushed her friend.,Her friend fell over.,1.0,0.021339476333752407
195,359,We ordered a pizza.,The pizza got cold.,0.0,0.018080789386336532
196,268,The bananas ripened.,We squeezed them.,0.0,0.0015371118485377063
197,401,The man turned on the faucet.,Water flowed from the spout.,1.0,0.16652825046794362
198,1097,Her husband was snoring.,The woman did not wake up.,0.0,0.024454274378139594
199,452,My subscription to the magazine expired.,I discarded the new issue.,0.0,0.009448725563881356
200,1357,The magnet was too weak to attract the paperclip.,The paperclip stuck to the magnet.,0.0,0.18415912644860014
201,1326,I pulled too hard on the railing.,I caught myself on the railing.,0.0,0.007004726327644146
202,297,He was sweaty from working out.,The man took a shower.,1.0,0.01035533713926679
203,1018,It got cold outside.,The moon became visible in the sky.,0.0,0.009822384240154865
204,25,She was repulsed by him.,The woman gave the man her phone number.,0.0,0.0045553977636040004
205,1372,She felt shy.,The woman did not tell the story to anyone.,1.0,0.008288238744695458
206,412,His family buried him in the cemetery.,The community learned of the man's death.,0.0,0.019419716190257303
207,361,Specialists recommended the procedure.,The patient underwent the risky medical procedure.,1.0,0.04011250410261011
208,214,The vandals threw a rock at the window.,The window fogged up.,0.0,0.007110352917543423
209,1046,She saw a shooting star.,The girl had bad luck.,0.0,0.014649047405343623
210,108,I spilled juice on the floor.,I dabbed the floor with a paper towel.,1.0,0.015591741374007576
211,407,My friends urged me to go out.,I decided to stay home for the night.,0.0,0.01195711045507437
212,58,The woman felt lonely.,She renovated her kitchen.,0.0,0.00472919703740261
213,303,The man called her.,The woman filed a restraining order against the man.,0.0,0.03345158879713372
214,165,The baby pulled the mother's hair.,The mother grimaced.,1.0,0.03289628878948773
215,1412,His family buried him in the cemetery.,The man did not get the burial at sea he wanted.,1.0,0.15445498530345328
216,102,I pushed the pendulum.,It slowed to a stop.,0.0,0.008354191543368368
217,215,The fortune teller's revelations were convincing.,She received many returning customers.,1.0,0.01263501565367013
218,1251,It scratched me.,I snapped at the cat.,1.0,0.019850684730847588
219,220,The detective flashed his badge to the police officer.,The police officer confiscated the detective's badge.,0.0,0.10865217954399359
220,1173,The host served nothing to his guests.,His guests went hungry.,1.0,0.03199788470307304
221,1339,It was pasteurized.,The honey lasted longer.,1.0,0.004021964378865376
222,72,The police called for backup.,The police handcuffed the suspect.,0.0,0.08486900179112458
223,1041,The tenant broke the door of his apartment.,His landlord repaired the door.,1.0,0.46562626523304257
224,1212,The police interrogated her.,The police kept the woman on the list of suspects.,1.0,0.00585011359340503
225,1146,The captain passed out.,The ship crashed into the pier.,1.0,0.015027428959444764
226,1378,He suffered brain damage.,The patient went into a fugue state.,0.0,0.01043723221704131
227,1380,The woman escaped.,The woman was not arrested by police.,1.0,0.013742980913794351
228,471,He insulted her.,The woman asked the man to leave.,1.0,0.007267002262337225
229,1333,She left it unsupervised.,The woman emptied her mailbox.,0.0,0.010694587760766936
230,1237,He dropped a hammer on his foot.,The man hid his feet.,0.0,0.009314475668401809
231,464,I was preparing to wash my hands.,I put rubber gloves on.,0.0,0.03819558124846222
232,460,The competition was sabotaged.,The man lost the competition.,1.0,0.006654377712145916
233,1459,He took a nap.,The man felt refreshed.,1.0,0.028297862860416568
234,1485,She checked into rehab.,The woman was an alcoholic.,1.0,0.005939948544134005
235,23,The farmland needed irrigation.,A flood occurred.,0.0,0.016332572696732106
236,310,The woman complimented the man.,He blushed.,1.0,0.03754127989223425
237,1475,The politician was very popular.,He campaigned for re-election.,1.0,0.012799506897648126
238,390,The truck crashed into the motorcycle on the bridge.,The motorcyclist died.,1.0,0.6397706125423094
239,1317,He fell asleep on his couch.,The man felt unrested in the morning.,1.0,0.013619189796371512
240,1397,The man wanted to make a note.,The man retrieved a pen from his pocket.,1.0,0.01861523329905419
241,124,The man contemplated the painting.,He felt in awe.,1.0,0.022181640195780325
242,1479,I saw a scary movie.,I had vivid dreams that night.,1.0,0.014208550220256388
243,1218,The student's answer on the exam was extraordinary.,The teacher added bonus points to the student's grade.,1.0,0.06896581580846745
244,113,I received a package in the mail.,I took the package to the post office.,0.0,0.022291606046173196
245,1276,The man wanted to get peace with his enemy.,The man declared a truce with his enemy.,1.0,0.06265430088935499
246,1006,He ran negative campaign ads.,The politician won the election.,1.0,0.045553637420345884
247,1214,The vandals blew cold air at the window.,The window cracked.,0.0,0.03616749567709963
248,382,Another car swerved into her lane.,The driver honked her horn.,1.0,0.11415722314728853
249,1098,The woman felt dizzy.,She was reminded of her childhood.,0.0,0.016717910903596606
250,1093,The blinds were open.,The sun was coming through the window.,1.0,0.014391963985075041
251,1232,She distrusted them.,The woman refused to visit her family.,1.0,0.001413288776733303
252,1486,The woman went to the polling station.,She discovered the outcome of the election.,0.0,0.03375266827137001
253,1421,The student felt sick and wanted to go home.,The teacher dismissed her.,1.0,0.03743638477940663
254,91,My foot went numb.,I put my shoes on.,0.0,0.004874411626593471
255,1099,It was crowded.,There was nowhere to sit in the bar.,1.0,0.008274130403960578
256,1215,The fortune teller's revelations were false.,Many customers asked for refunds.,1.0,0.01177860021429496
257,188,The woman upgraded her computer hardware.,She installed new software on the computer.,1.0,0.11333669587137173
258,1434,The hour seemed to drag on.,He was tired and stared at the clock.,1.0,0.017209212963214086
259,1092,The photographer could not see the child's face.,The photographer quickly changed the child's pose.,1.0,0.01239000621213402
260,1450,The hot sun shined onto the cement all summer.,Cracks emerged in the cement.,1.0,0.0043701120340998365
261,165,The baby pulled the mother's hair.,The baby burped.,0.0,0.04560420252771562
262,1387,I was hunting for a new apartment.,I called several realtors.,1.0,0.005901152613594393
263,1282,The contestant rang the buzzer.,The host of the trivia show called on the contestant to pick a category.,0.0,0.008748470584304684
264,123,The train ran off the tracks.,The inside of the train went dark.,0.0,0.0037882099519625434
265,1309,He yelled whenever a player fumbled the ball.,"The players called their coach ""The Flute"".",0.0,0.03450663094828768
266,1101,The teacher wanted to grade the students.,She identified the students that were absent.,0.0,0.059558406679004305
267,397,The print on the brochure was tiny.,The man put his glasses on.,1.0,0.0036748365941945277
268,112,The man begged for forgiveness.,The woman took pity on him.,1.0,0.04594882512524257
269,1032,The man hated the shape of his chin.,He grew a beard.,1.0,0.04646817320224907
270,258,The button on my shirt fell off.,I sewed the button back on.,1.0,0.03300099239639467
271,176,It was bedtime for the children.,The father shut off the children's television.,1.0,0.01843856476529429
272,29,The grape juice fermented.,The juice evaporated.,0.0,0.14528816001362224
273,264,He looked busy.,I approached the man.,0.0,0.0086158608690499
274,240,They remained untouched for years.,The photo albums collected dust in the attic.,1.0,0.004151639421695507
275,1219,The girl demonstrated poor etiquette.,She threw away her napkin after eating.,1.0,0.021678262830678984
276,1422,I took deep breaths.,I noticed that I was very nervous.,0.0,0.025641847118244635
277,433,I inhaled smoke.,I coughed.,1.0,0.0321619630600449
278,81,I tipped the bottle.,The liquid in the bottle froze.,0.0,0.021573571291025214
279,1426,He ran over a nail.,The driver got a ticket.,0.0,0.008059839545756826
280,1152,The opening credits finished playing.,The film began.,1.0,0.018045444459039807
281,115,The speaker disarmed her debate opponent.,The speaker won the debate.,1.0,0.021613496353692866
282,330,He noticed some suspicious activity.,The security guard replayed the surveillance footage.,1.0,0.017874128695363214
283,1407,The forecast called for storms.,I decided not to stay home.,0.0,0.010157911813355921
284,287,The boy had trouble buttoning his shirt.,He refused to wear the shirt.,0.0,0.032758118159865075
285,1002,The woman felt that her friend took advantage of her kindness.,The woman did not tolerate her friend's difficult behavior anymore.,1.0,0.02562065759758648
286,388,The boy wrestled with his older brother.,The boy mimicked his older brother.,0.0,0.02191203355898186
287,1357,The magnet was too weak to attract the paperclip.,The paperclip dropped from the magnet.,1.0,0.1834842181676507
288,273,He had his back turned to her.,The man took notice of the woman.,0.0,0.014469878101228737
289,161,The player got a penalty.,The coach gave his player a high five.,0.0,0.027579386777827525
290,453,The detective revealed an anomaly in the case.,He scrapped his theory.,1.0,0.0077867344242412255
291,1288,The gum lost its flavor.,I enjoyed my chewing gum.,0.0,0.1356612195300801
292,1433,I inhaled smoke.,Only the person next to me could hear me speak.,0.0,0.003700322762900328
293,1414,She aspired to hold an executive position in the firm.,The woman acquired an additional qualification for her job.,1.0,0.025979856907425502
294,388,The boy looked up to his older brother.,The boy mimicked his older brother.,1.0,0.02199173384234334
295,1495,The girl wanted to have a symbol on her arm.,She got her ears pierced.,0.0,0.005831981040079295
296,1211,The sender tried to solicit money from her.,The woman read the email.,0.0,0.03541146681079552
297,337,The boy wanted to be muscular.,He played computer games.,0.0,0.0049225206717252905
298,374,The man went into denial about the tragedy.,He got over it easily.,0.0,0.0011679969512298943
299,1045,It migrated for the winter.,The bird flew south.,1.0,0.027157337424202156
300,1038,The woman felt guilty.,She bought a yacht.,0.0,0.004601248966573765
301,1239,A gas tank burst in the hall of the school.,The principal suspended the students involved.,0.0,0.032978309408202074
302,92,The photographer got the child to smile.,The photographer quickly snapped the child's photo.,1.0,0.03356498887329418
303,54,The cook stirred the ingredients in the bowl.,The ingredients blended together.,1.0,0.025260046413254317
304,243,It was a holiday weekend.,The family postponed the barbeque.,0.0,0.030446359749904485
305,221,The girl wanted to make her mother happy.,The girl ate the cookies her mother baked.,0.0,0.03360043806311188
306,1407,My friends urged me to go out.,I decided not to stay home.,1.0,0.009526854677601556
307,1201,The woman kissed him.,The man had a grin on his face.,0.0,0.035584392236964676
308,475,The politician was convicted of fraud.,He was removed from office.,1.0,0.009719629348124202
309,213,The climbers reached the peak of the mountain.,They encountered an avalanche.,0.0,0.1246496268070737
310,223,The stranger cried out to me in a foreign language.,I stopped to chat with him.,0.0,0.006534774704337524
311,21,She won a spelling bee.,The girl received a trophy.,1.0,0.03744704471549429
312,99,It was 3 AM.,The bar closed.,1.0,0.0032612736883762183
313,1440,The man grew tired of having so many things.,His hair turned gray.,0.0,0.0384816045552384
314,1053,Bodybuilding fell out of fashion.,The gym closed.,1.0,0.04651282438966627
315,1395,I turned off my phone.,I did not get any calls.,1.0,9.135061890044302e-05
316,1305,She was familiar with the bartender.,The woman stayed late in the bar.,1.0,0.026771486727568367
317,1278,The woman was close with her sister.,The woman invited her sister for coffee.,1.0,0.015994219472549552
318,184,He wanted to maintain his privacy.,The benefactor requested to stay anonymous.,1.0,0.008367166499188856
319,450,I pressed my hand into the wet cement.,My handprint dried in the cement.,1.0,0.032609474491702206
320,1158,The woman smelled smoke.,The woman covered her nose.,1.0,0.03845378590581405
321,60,The crowd gave the band a standing ovation.,The band reappeared on the stage.,1.0,0.028579465100887186
322,1500,The woman was in a good mood.,She told her friend to leave her alone.,0.0,0.017022929414755805
323,10,The sales associate acted rude to the customer.,The customer filed a complaint with the store manager.,1.0,0.0377816331739874
324,1263,The assailant took the man's wallet.,The man lost the credit card.,1.0,0.0334358284251484
325,1456,He ate a big lunch.,The boy rushed home for dinner.,0.0,0.08525382841996723
326,347,The bully punched the boy.,The boy got a black eye.,1.0,0.016041775659899
327,292,I scrubbed the stain on the floor.,I got dirt on the floor.,0.0,0.05032834949987894
328,90,His grandfather was deaf.,The boy read the novel aloud to his grandfather.,0.0,0.005874656401257351
329,39,The seamstress pushed the threaded needle into the fabric.,The thread went through the fabric.,1.0,0.05799699809650187
330,1436,They were trying to elicit a confession.,The police tortured the suspect.,1.0,0.07146258418677091
331,150,The patient's symptoms cleared up.,The hospital sent the patient home.,1.0,0.039245872864449034
332,97,Her husband was snoring.,The woman awakened.,1.0,0.01540834972408291
333,1199,The vase had a nice shape.,I glued it back together.,0.0,0.019282304448033197
334,244,There was a hole in it.,Air leaked out of the beach ball.,1.0,0.01335238831048441
335,1371,The mayor fulfilled his promises.,The city had spent too much money.,0.0,0.028041384543348796
336,1350,Oil spilled into the ocean.,New countries were discovered.,0.0,0.010989187287388454
337,1177,He treaded water.,The man exhaled his breath.,1.0,0.023140766655784004
338,447,The woman's hair fell in her face.,She pulled her hair back with a clip.,1.0,0.03138819857833745
339,1422,My heart pounded.,I noticed that I was very nervous.,1.0,0.015262695269070602
340,474,The seasons changed from summer to autumn.,People evacuated their homes.,0.0,0.008522121592817268
341,1259,She wanted to thank her fans.,The celebrity took off her sunglasses.,1.0,0.0011784712138087196
